"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"144",0,1.16488602621118,0.826,0.27,0,"4","PHLDA2"
"145",0,1.15944716908482,0.881,0.34,0,"4","TMPO"
"146",0,1.15713491895778,0.872,0.353,0,"4","CCND1"
"147",0,1.14344251239076,0.614,0.073,0,"4","ASPM"
"148",0,1.12970567087485,0.708,0.138,0,"4","PTTG1"
"149",0,1.12646546608531,0.67,0.059,0,"4","RRM2"
"150",0,1.12258128087681,0.968,0.597,0,"4","NASP"
"151",0,2.01274748865836,0.681,0.225,0,"5","CRABP1"
"152",0,1.94842100685313,0.953,0.531,0,"5","MAPK10"
"153",0,1.92604285032791,0.767,0.173,0,"5","CDH7"
"154",0,1.43695579819238,0.916,0.418,0,"5","THSD7A"
"155",0,1.40475184708968,0.811,0.275,0,"5","AC025159.1"
"156",0,1.37810833576213,0.939,0.458,0,"5","TIAM1"
"157",0,1.33161102996744,0.904,0.54,0,"5","SAT1"
"158",0,1.30754559063047,0.893,0.264,0,"5","HIF3A"
"159",0,1.26155091000942,0.936,0.553,0,"5","PAX3"
"160",0,1.22190311127918,0.999,0.998,0,"5","MALAT1"
"161",0,1.21946778077894,0.753,0.273,0,"5","MAP2"
"162",0,1.19833811918851,0.949,0.772,0,"5","APLP2"
"163",0,1.18783559421026,0.921,0.61,0,"5","LINC02315"
"164",0,1.18713716885858,0.754,0.271,0,"5","ABCC5"
"165",0,1.18625683694912,0.683,0.153,0,"5","NDST4"
"166",0,1.14210061306815,0.94,0.455,0,"5","LAMA2"
"167",0,1.1271294697037,0.957,0.682,0,"5","CDK14"
"168",0,1.11414306570256,0.926,0.303,0,"5","FKBP5"
"169",0,1.10531437675583,0.89,0.402,0,"5","DTNA"
"170",0,1.05020188271675,0.414,0.084,0,"5","ACSBG1"
"171",0,1.04902841464895,0.747,0.238,0,"5","PLEKHG1"
"172",0,1.04738290367185,0.612,0.147,0,"5","TMTC1"
"173",0,1.02542918878695,0.909,0.445,0,"5","PIK3R1"
"174",0,0.994804492224794,0.959,0.751,0,"5","UNC5C"
"175",0,0.991910393288191,0.953,0.677,0,"5","COL4A5"
"176",0,0.989784725518327,0.62,0.142,0,"5","CALCRL"
"177",0,0.975117922621494,0.756,0.279,0,"5","LIFR"
"178",0,0.958403291929765,0.904,0.428,0,"5","CHD7"
"179",2.99462308258323e-307,0.954265129826927,0.607,0.246,7.43804481252024e-303,"5","EPHA3"
"180",1.02520490243864e-273,1.10783257411923,0.513,0.208,2.54640393667709e-269,"5","LRP1B"
"181",0,2.0669764722856,0.739,0.163,0,"6","CENPF"
"182",0,1.85341672705384,0.644,0.115,0,"6","TOP2A"
"183",0,1.81782968432067,0.697,0.148,0,"6","DIAPH3"
"184",0,1.70486001944427,0.7,0.224,0,"6","HMGB2"
"185",0,1.64121722976366,0.641,0.132,0,"6","BRIP1"
"186",0,1.60480255063581,0.663,0.144,0,"6","TPX2"
"187",0,1.42516031724864,0.601,0.102,0,"6","NUSAP1"
"188",0,1.36809049032942,0.49,0.115,0,"6","MIR924HG"
"189",0,1.35093266982164,0.539,0.093,0,"6","ASPM"
"190",0,1.35071692434976,0.632,0.148,0,"6","BIRC5"
"191",0,1.34409941364207,0.554,0.092,0,"6","MKI67"
"192",0,1.30715105752888,0.524,0.104,0,"6","CENPE"
"193",0,1.2328205790869,0.934,0.752,0,"6","TUBA1B"
"194",0,1.1888512329762,0.912,0.72,0,"6","H2AFZ"
"195",0,1.18078891232217,0.629,0.152,0,"6","PCLAF"
"196",0,1.17881010224512,0.722,0.311,0,"6","SMC4"
"197",0,1.1715492956373,0.543,0.094,0,"6","PRC1"
"198",0,1.16770732762981,0.52,0.166,0,"6","PTTG1"
"199",0,1.14239744750729,0.887,0.613,0,"6","NASP"
"200",0,1.11632117292888,0.663,0.291,0,"6","SYNE2"
"201",0,1.11293764683822,0.587,0.127,0,"6","CENPK"
"202",0,1.10482061998756,0.456,0.075,0,"6","UBE2C"
"203",0,1.09847851898561,0.537,0.107,0,"6","CLSPN"
"204",0,1.08594329261935,0.532,0.148,0,"6","ATAD2"
"205",0,1.07220463837739,0.515,0.158,0,"6","CCNB1"
"206",0,1.06874155389045,0.609,0.219,0,"6","HELLS"
"207",0,1.06486498055236,0.491,0.071,0,"6","GTSE1"
"208",2.10492846348565e-275,1.11742347187157,0.709,0.397,5.22822131760565e-271,"6","KPNA2"
"209",9.21050937350971e-207,1.48202941470333,0.736,0.504,2.28770631819234e-202,"6","HIST1H4C"
"210",1.6224211323484e-194,1.3144502452051,0.613,0.326,4.02976960852696e-190,"6","ACTA2"
"211",0,1.78619889615441,0.619,0.206,0,"7","LRP1B"
"212",0,1.46663722521262,0.868,0.211,0,"7","PDGFRA"
"213",0,1.46320881020934,0.822,0.402,0,"7","TSHZ2"
"214",0,1.30734259638574,0.725,0.185,0,"7","CCDC102B"
"215",0,1.24357170345243,0.736,0.201,0,"7","PDE10A"
"216",0,1.11764160555879,0.83,0.279,0,"7","NID1"
"217",0,1.03518337917012,0.896,0.405,0,"7","CERS6"
"218",0,1.0350252971098,0.824,0.236,0,"7","TIMP3"
"219",0,0.991831553320145,0.622,0.196,0,"7","LAMA4"
"220",0,0.989737954464718,0.241,0.021,0,"7","SPARCL1"
"221",0,0.979700307021875,0.957,0.627,0,"7","TCF7L2"
"222",0,0.90997542390264,0.928,0.524,0,"7","TCF7L1"
"223",0,0.90081041861724,0.517,0.126,0,"7","PDE7B"
"224",0,0.898912936228732,0.62,0.154,0,"7","TMTC1"
"225",0,0.898566259100891,0.79,0.333,0,"7","KCNMB4"
"226",0,0.873746507881167,0.934,0.451,0,"7","PIK3R1"
"227",0,0.873457779089913,0.936,0.534,0,"7","LAMB1"
"228",0,0.849668381697488,0.646,0.156,0,"7","TGFBR3"
"229",1.17745037650749e-289,0.896485251250443,0.933,0.572,2.9245512451693e-285,"7","AC008014.1"
"230",1.27109883789373e-276,0.848372532399345,0.956,0.595,3.15715529356044e-272,"7","TRPS1"
"231",1.24108438787415e-270,1.24158211261576,0.776,0.434,3.0826054026018e-266,"7","THSD7A"
"232",4.65793107507751e-270,0.962185779728184,0.642,0.26,1.15693692042775e-265,"7","SLIT3"
"233",2.59817422600293e-266,0.890361058435375,0.953,0.668,6.45334514254608e-262,"7","KCNQ1OT1"
"234",7.08913183966426e-262,1.04219631503291,0.299,0.069,1.76079856633581e-257,"7","EBF2"
"235",9.47366580248326e-257,0.843554692195947,0.972,0.72,2.35306911202079e-252,"7","RORA"
"236",4.03831223636005e-254,0.855052718047323,0.263,0.055,1.00303599326711e-249,"7","AC099520.1"
"237",9.9662642043623e-229,1.64123355552792,0.307,0.084,2.47542070307951e-224,"7","PCDH15"
"238",5.30123743107057e-198,0.954505131091488,0.754,0.439,1.31672135312931e-193,"7","PLXDC2"
"239",3.0507062479401e-180,1.03415829252788,0.415,0.148,7.57734417863362e-176,"7","H19"
"240",3.88904266301714e-125,0.982518353770682,0.511,0.244,9.65960416640198e-121,"7","CRABP1"
"241",0,0.9303578966186,0.862,0.417,0,"8","DTNA"
"242",0,0.907790813746536,0.96,0.682,0,"8","RBP1"
"243",0,0.827920682483665,0.685,0.235,0,"8","RHOU"
"244",0,0.812401711808221,0.866,0.4,0,"8","TNC"
"245",0,0.695073272514665,0.38,0.048,0,"8","SEMA3E"
"246",8.23080528790659e-298,0.603740829828658,0.611,0.197,2.04436741741024e-293,"8","CDH7"
"247",1.00559284400848e-277,0.941015795983049,0.959,0.756,2.49769150594826e-273,"8","HSBP1"
"248",3.48543421871226e-258,0.715725910421051,0.976,0.877,8.6571215124375e-254,"8","IFITM3"
"249",6.13374208397674e-252,1.05190155011378,0.822,0.441,1.52349885881814e-247,"8","DCC"
"250",8.72988746462907e-240,0.623196227265525,0.757,0.358,2.16832944846457e-235,"8","LGALS3BP"
"251",1.58462929976428e-236,0.752516179717543,0.943,0.705,3.93590225475452e-232,"8","IFITM2"
